ts,slug,asset,settlement,window_start,window_end,secs_left,K,spot,avg_window,sigma,sigma_q,p_up,ask_up,ask_down,bid_up,bid_down,mid_up,mid_down,up_won
1787166906602,btc-updown-5m-1787166900,BTC,twap,1787166900000,1787167200000,293,68163.98,68119,68104.3,254.9,measured,0.3944,0.38,0.6275,0.37,0.61,0.375,0.625,
1787166907239,eth-updown-5m-1787166900,ETH,twap,1787166900000,1787167200000,293,2091.53,2091.13,2090.32,268.4,measured,0.4695,0.5138,0.505,0.49,0.49,0.495,0.505,1
1787166917921,btc-updown-5m-1787166900,BTC,twap,1787166900000,1787167200000,282,68163.98,68168.13,68128.88,257.2,measured,0.5045,0.535,0.48,0.52,0.47,0.52,0.475,
1787166918301,eth-updown-5m-1787166900,ETH,twap,1787166900000,1787167200000,282,2091.53,2093.02,2091.41,268.6,measured,0.6067,0.5979,0.424,0.58,0.41,0.585,0.415,1
1787166928697,btc-updown-5m-1787166900,BTC,twap,1787166900000,1787167200000,271,68163.98,68141.64,68140.06,253.5,measured,0.4404,0.41,0.607,0.4,0.59,0.405,0.595,
1787166929322,eth-updown-5m-1787166900,ETH,twap,1787166900000,1787167200000,271,2091.53,2092,2091.73,264.6,measured,0.5372,0.5247,0.5074,0.51,0.48,0.515,0.485,1
1787166939669,btc-updown-5m-1787166900,BTC,twap,1787166900000,1787167200000,260,68163.98,68116.64,68135.56,247.1,measured,0.3723,0.36,0.6624,0.35,0.64,0.355,0.645,
1787166939852,eth-updown-5m-1787166900,ETH,twap,1787166900000,1787167200000,260,2091.53,2091.41,2091.67,258,measured,0.4925,0.495,0.5248,0.48,0.51,0.485,0.515,1
1787166950287,btc-updown-5m-1787166900,BTC,twap,1787166900000,1787167200000,250,68163.98,68167.39,68137.91,247.4,measured,0.4953,0.55,0.46,0.54,0.45,0.545,0.455,
1787166950713,eth-updown-5m-1787166900,ETH,twap,1787166900000,1787167200000,249,2091.53,2093.16,2091.86,258.9,measured,0.6332,0.66,0.351,0.65,0.34,0.655,0.345,1
1787166961130,btc-updown-5m-1787166900,BTC,twap,1787166900000,1787167200000,239,68163.98,68170.46,68143.2,244.2,measured,0.5031,0.5597,0.46,0.54,0.45,0.545,0.455,
1787166961304,eth-updown-5m-1787166900,ETH,twap,1787166900000,1787167200000,239,2091.53,2093.29,2092.1,255.3,measured,0.6538,0.6817,0.3355,0.67,0.32,0.675,0.325,1
1787166971747,btc-updown-5m-1787166900,BTC,twap,1787166900000,1787167200000,228,68163.98,68187.87,68149.35,241.3,measured,0.5526,0.62,0.3944,0.61,0.38,0.615,0.385,
